id,question,answer,g,b
1,What is the supreme law of the land?,Constitution,0,0
2,What does the Constitution do?,Sets up the government,0,0
3,The idea of self-government is in the first three words of the Constitution. What are these words?,We the People,0,0
4,What is an amendment?,change to constitution,0,0
5,What do we call the first ten amendments to the Constitution?,Bill of Rights,0,0
6,What is one right or freedom from the First Amendment?,Speech,0,0
7,How many amendments does the Constitution have?,27,0,0
8,What did the Declaration of Independence do?,Declared independence,0,0
9,What are two rights in the Declaration of Independence?,Life liberty,0,0
10,What is freedom of religion?,Practice any religion,0,0
11,What is the economic system in the United States?,Capitalism,0,0
12,"What is the ""rule of law""?",Everyone must follow the law,0,0
13,Name one branch or part of the government.,congress,0,0
14,What stops one branch of government from becoming too powerful?,Checks and balances,0,0
15,Who is in charge of the executive branch?,President,0,0
16,Who makes federal laws?,Congress,0,0
17,What are the two parts of the U.S. Congress?,Senate House,0,0
18,How many U.S. Senators are there?,100,0,0
19,We elect a U.S. Senator for how many years?,6,0,0
20,Who is one of your state's U.S. Senators now?,Ted Cruz,0,0
21,The House of Representatives has how many voting members?,435,0,0
22,We elect a U.S. Representative for how many years?,2,0,0
23,Name your U.S. Representative.,Keith Self,0,0
24,Who does a U.S. Senator represent?,all people of the state,0,0
25,Why do some states have more Representatives than other states?,population,0,0
26,We elect a President for how many years?,4,0,0
27,In what month do we vote for President?,November,0,0
28,What is the name of the President of the United States now?,Joe Biden,0,0
29,What is the name of the Vice President of the United States now?,Kamala Harris,0,0
30,"If the President can no longer serve, who becomes President?",Vice President,0,0
31,"If both the President and the Vice President can no longer serve, who becomes President?",Speaker of the house,0,0
32,Who is the Commander in Chief of the military?,President,0,0
33,Who signs bills to become laws?,President,0,0
34,Who vetoes bills?,President,0,0
35,What does the President's Cabinet do?,Advises the President,0,0
36,What are two Cabinet-level positions?,Secretary Agriculture Commerce,0,0
37,What does the judicial branch do?,Reviews laws,0,0
38,What is the highest court in the United States?,Supreme court,0,0
39,How many justices are on the Supreme Court?,9,0,0
40,Who is the Chief Justice of the United States now?,John Roberts,0,0
41,"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?",Print money,0,0
42,"Under our Constitution, some powers belong to the states. What is one power of the states?",education,0,0
43,Who is the Governor of your state now?,Greg Abbott,0,0
44,What is the capital of your state?,Austin,0,0
45,What are the two major political parties in the United States?,Democratic Republican,0,0
46,What is the political party of the President now?,Democratic,0,0
47,What is the name of the Speaker of the House of Representatives now?,Mike Johnson,0,0
48,There are four amendments to the Constitution about who can vote. Describe one of them.,18 or older can vote,0,0
49,What is one responsibility that is only for United States citizens?,Vote federal election,0,0
50,Name one right only for United States citizens.,vote federal election,0,0
51,What are two rights of everyone living in the United States?,freedom speech religion,0,0
52,What do we show loyalty to when we say the Pledge of Allegiance?,the united states,0,0
53,What is one promise you make when you become a United States citizen?,Give up loyalty to other countries,0,0
54,How old do citizens have to be to vote for President?,18,0,0
55,What are two ways that Americans can participate in their democracy?,vote join political party,0,0
56,When is the last day you can send in federal income tax forms?,April 15,0,0
57,When must all men register for the Selective Service?,18,0,0
58,What is one reason colonists came to America?,Freedom,0,0
59,Who lived in America before the Europeans arrived?,Native Americans,0,0
60,What group of people was taken to America and sold as slaves?,Africans,0,0
61,Why did the colonists fight the British?,High taxes,0,0
62,Who wrote the Declaration of Independence?,Jefferson,0,0
63,When was the Declaration of Independence adopted?,July 4 1776,0,0
64,There were 13 original states. Name three.,Connecticut New York New Jersey,0,0
65,What happened at the Constitutional Convention?,Constitution was written,0,0
66,When was the Constitution written?,1787,0,0
67,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,Madison,0,0
68,What is one thing Benjamin Franklin is famous for?,US diplomat,0,0
69,"Who is the ""Father of Our Country""?",Washington,0,0
70,Who was the first President?,Washington,0,0
71,What territory did the United States buy from France in 1803?,Louisiana,0,0
72,Name one war fought by the United States in the 1800s.,Civil war,0,0
73,Name the U.S. war between the North and the South.,Civil war,0,0
74,Name one problem that led to the Civil War.,Slavery,0,0
75,What was one important thing that Abraham Lincoln did?,Freed the slaves,0,0
76,What did the Emancipation Proclamation do?,Freed the slaves,0,0
77,What did Susan B. Anthony do?,fought women rights,0,0
78,Name one war fought by the United States in the 1900s.,WWII,0,0
79,Who was President during World War I?,Wilson,0,0
80,Who was President during the Great Depression and World War II?,Roosevelt,0,0
81,Who did the United States fight in World War II?,Japan Germany Italy,0,0
82,"Before he was President, Eisenhower was a general. What war was he in?",WWII,0,0
83,"During the Cold War, what was the main concern of the United States?",Communism,0,0
84,What movement tried to end racial discrimination?,civil rights,0,0
85,"What did Martin Luther King, Jr. do?",Fought for civil rights,0,0
86,"What major event happened on September 11, 2001, in the United States?",Terrorist attack,0,0
87,Name one American Indian tribe in the United States.,Sioux,0,0
88,Name one of the two longest rivers in the United States.,Mississippi,0,0
89,What ocean is on the West Coast of the United States?,Pacific,0,0
90,What ocean is on the East Coast of the United States?,Atlantic,0,0
91,Name one U.S. territory.,Puerto Rico,0,0
92,Name one state that borders Canada.,Alaska,0,0
93,Name one state that borders Mexico.,Texas,0,0
94,What is the capital of the United States?,Washington dc,0,0
95,Where is the Statue of Liberty?,New York,0,0
96,Why does the flag have 13 stripes?,13 original colonies,0,0
97,Why does the flag have 50 stars?,50 states,0,0
98,What is the name of the national anthem?,Star Spangled Banner,0,0
99,When do we celebrate Independence Day?,July 4,0,0
100,Name two national U.S. holidays.,Christmas Thanksgiving,0,0
